timestamp, cpu_temp, cpu_util, cpu_freq, amb_temp, amb_humid, heatsink, cover, starttime
2018-03-28T22:49:51,53.7,2.26,600000000,22,46,False,True,2018-03-28T22:49:47
2018-03-28T22:49:55,53.2,3.47,600000000,22,44,False,True,2018-03-28T22:49:47
2018-03-28T22:50:00,52.1,4.56,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:50:04,52.6,1.75,600000000,22,46,False,True,2018-03-28T22:49:47
2018-03-28T22:50:09,52.6,2.26,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:50:14,52.1,1.51,600000000,None,None,False,True,2018-03-28T22:49:47
2018-03-28T22:50:19,52.1,1.27,600000000,22,46,False,True,2018-03-28T22:49:47
2018-03-28T22:50:23,52.6,4.79,600000000,23,45,False,True,2018-03-28T22:49:47
2018-03-28T22:50:28,52.1,2.01,600000000,None,None,False,True,2018-03-28T22:49:47
2018-03-28T22:50:32,51.5,3.23,600000000,23,45,False,True,2018-03-28T22:49:47
2018-03-28T22:50:37,52.6,1.02,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:50:42,52.6,5.75,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:50:46,52.6,2.26,600000000,23,45,False,True,2018-03-28T22:49:47
2018-03-28T22:50:51,52.6,2.49,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:50:55,52.6,1.76,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:51:00,52.1,1.51,600000000,23,45,False,True,2018-03-28T22:49:47
2018-03-28T22:51:05,52.1,2.74,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:51:09,52.6,2.51,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:51:14,52.1,1.27,600000000,23,45,False,True,2018-03-28T22:49:47
2018-03-28T22:51:19,53.7,3.05,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:51:23,52.6,4.58,600000000,22,45,False,True,2018-03-28T22:49:47
2018-03-28T22:51:28,52.6,4.51,600000000,None,None,False,True,2018-03-28T22:49:47
2018-03-28T22:51:33,52.6,2.28,600000000,23,46,False,True,2018-03-28T22:49:47
